4031	Modeling the Neuropathology of Tuberous Sclerosis with Human Stem Cells Reveals a Role for Inflammation and Angiogenic Growth Factors [Cell Model]	GPL16791	24	GSE78959	200078959	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78959/suppl/GSE78959_TSC2-cellModel_RNA.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78959/suppl/GSE78959_TSC2-cellModel_RPF.txt.gz
4032	Conversion of Human Gastric Epithelial Cells to Multipotent Endodermal Progenitors using Defined Small Molecules [gene expression]	GPL20795 GPL16791	18	GSE58557	200058557	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58557/suppl/GSE58557_README.txt ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58557/suppl/GSE58557_read.count.txt.gz
4035	Nudt3 is a mRNA Decapping Enzyme That Modulates Cell Migration	GPL16791	6	GSE75146	200075146	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75146/suppl/GSE75146_isoforms-replicates-fpkmMatrix.csv.gz
4037	Distinct Function for ASCL1 and NEUROD1 in Pulmonary Neuroendocrine Tumors (RNA-seq)	GPL13112 GPL9520	6	GSE69393	200069393	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69393/suppl/GSE69393_Mouse_model_RNA_seq_FPKM_matrix.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69393/suppl/GSE69393_hSCLC_FPKM_matrix.txt.gz
4039	Development of Pathway Preferential Estrogens Affording Beneficial Metabolic and Vascular Actions without Reproductive Tissue Stimulation in Mice	GPL11154	24	GSE73663	200073663	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73663/suppl/GSE73663_inhibitor.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73663/suppl/GSE73663_timecourse.txt.gz
4041	HLA peptides derived from tumor antigens induced by inhibition of DNA methylation for development of drug-facilitated immunotherapy	GPL16791	12	GSE80137	200080137	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80137/suppl/GSE80137_normalized_counts-source.txt.gz
4047	Identification of ZEB1-regulated gene expression changes in HCC827 human lung adenocarcinoma cells	GPL11154	6	GSE81167	200081167	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81167/suppl/GSE81167_HCC827_3.1_ZEB1_RAW.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81167/suppl/GSE81167_HCC827_3.1_ZEB1_RPKM.txt.gz
4050	Different promoter affinities account for specificity in MYC-dependent gene regulation	GPL10999 GPL18573	22	GSE77356	200077356	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77356/suppl/GSE77356_README.txt ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77356/suppl/GSE77356_RNAseq_MYC_depletion_count_matrix.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77356/suppl/GSE77356_RNAseq_MYC_depletion_logFC.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77356/suppl/GSE77356_RNAseq_titration_count_matrix.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77356/suppl/GSE77356_RNAseq_titration_logFC.txt.gz
4056	Multiple mechanisms disrupt let-7 miRNA biogenesis and function in neuroblastoma [longRNA]	GPL18573	9	GSE81498	200081498	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81498/suppl/GSE81498_expJTP_mRNA.csv.gz
4057	Multiple mechanisms disrupt let-7 miRNA biogenesis and function in neuroblastoma [Let7Targets]	GPL18573	4	GSE81497	200081497	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81497/suppl/GSE81497_expJTP_let7Targets.csv.gz
4058	RNA polymerase in pre-B-ALL cell lines	GPL11154	21	GSE67540	200067540	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67540/suppl/GSE67540_README.txt
4060	MEIS2 is a novel oncogenic partner in AML1-ETO positive AML [RNA-Seq human]	GPL11154	8	GSE81328	200081328	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81328/suppl/GSE81328_FPKM_data_matrix.txt.gz
